Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Buffalo/Rochester,Weekly,"2022-01-16 00:00:00",Conventional,1.421010791,196602.67,25651.72,52663.51,119.75,114076.96,,,,4090.73
Buffalo/Rochester,Weekly,"2022-01-09 00:00:00",Conventional,1.363746305,194397.29,23640.68,50385.58,140.39,114087.82,,,,6142.82
Buffalo/Rochester,Weekly,"2022-01-03 00:00:00",Conventional,1.255692456,185162.14,37859.48,43289.75,120.70,99382.72,,,,4509.49
Charlotte,Weekly,"2022-01-23 00:00:00",Conventional,1.483118703,312621.17,117679.41,52693.50,4087.19,117037.70,,,,21123.36
Charlotte,Weekly,"2022-01-16 00:00:00",Conventional,1.350760971,354305.22,122632.77,56564.31,4047.06,149536.14,,,,21524.94
Charlotte,Weekly,"2022-01-09 00:00:00",Conventional,1.215315552,368090.41,150812.60,62862.71,4640.16,125895.28,,,,23879.65
Charlotte,Weekly,"2022-01-03 00:00:00",Conventional,1.131690713,396075.03,127209.04,54903.02,4818.40,182350.88,,,,26793.69
Chicago,Weekly,"2022-01-23 00:00:00",Conventional,1.479813669,802067.45,107686.82,103786.54,36000.61,230857.49,,,,323735.99
Chicago,Weekly,"2022-01-16 00:00:00",Conventional,1.436018277,813439.44,103739.20,99078.37,36340.93,252900.11,,,,321380.83
Chicago,Weekly,"2022-01-09 00:00:00",Conventional,1.421930009,800338.38,134154.43,94698.68,37264.79,225609.07,,,,308611.42
Chicago,Weekly,"2022-01-03 00:00:00",Conventional,1.029123232,1177381.67,151912.36,207348.17,40472.70,215613.95,,,,562034.50
Cincinnati/Dayton,Weekly,"2022-01-23 00:00:00",Conventional,1.017518053,322467.50,102211.85,21038.69,155.17,36901.35,,,,162160.45
Cincinnati/Dayton,Weekly,"2022-01-16 00:00:00",Conventional,0.981073085,355946.71,119173.30,16410.26,152.30,38835.99,,,,181374.86
Cincinnati/Dayton,Weekly,"2022-01-09 00:00:00",Conventional,0.925662453,354676.45,124926.12,16425.76,127.72,36399.13,,,,176797.73
Cincinnati/Dayton,Weekly,"2022-01-03 00:00:00",Conventional,0.881990729,351248.53,97938.00,30173.29,239.21,34198.96,,,,188699.07
Columbus,Weekly,"2022-01-23 00:00:00",Conventional,1.069786496,260975.34,83072.18,14531.26,109.45,42888.43,,,,120374.03
Columbus,Weekly,"2022-01-16 00:00:00",Conventional,0.942886814,297423.18,97848.06,10864.08,121.05,43791.98,,,,144798.00
Columbus,Weekly,"2022-01-09 00:00:00",Conventional,0.938357214,283679.56,99611.81,10899.82,75.27,39816.73,,,,133275.93
Columbus,Weekly,"2022-01-03 00:00:00",Conventional,0.839014125,300928.41,95081.27,21812.93,188.07,37318.50,,,,146527.64
"Dallas/Ft. Worth",Weekly,"2022-01-23 00:00:00",Conventional,1.016927689,1344295.05,409275.26,123452.53,10811.91,428568.44,,,,372186.90
"Dallas/Ft. Worth",Weekly,"2022-01-16 00:00:00",Conventional,0.990175132,1423860.50,380422.05,132813.77,11033.81,509574.17,,,,390016.70
"Dallas/Ft. Worth",Weekly,"2022-01-09 00:00:00",Conventional,0.928117851,1311807.29,345091.68,167727.54,10607.31,426690.65,,,,361690.11
"Dallas/Ft. Worth",Weekly,"2022-01-03 00:00:00",Conventional,0.762576452,1538466.70,335438.93,169898.80,11574.29,689312.64,,,,332242.05
Denver,Weekly,"2022-01-23 00:00:00",Conventional,1.275773580,794000.51,140983.98,40168.61,3032.33,255961.99,,,,353853.60
Denver,Weekly,"2022-01-16 00:00:00",Conventional,1.300648784,919181.80,149952.16,40907.45,3159.38,263429.35,,,,461733.45
Denver,Weekly,"2022-01-09 00:00:00",Conventional,1.182646373,945844.97,142477.95,68045.75,2611.75,287672.17,,,,445037.36
Denver,Weekly,"2022-01-03 00:00:00",Conventional,1.152568875,944611.67,136055.10,74351.56,3691.85,228548.89,,,,501964.28
Detroit,Weekly,"2022-01-23 00:00:00",Conventional,1.097215594,467634.90,143666.13,30241.73,46733.44,75413.50,,,,171580.10
Detroit,Weekly,"2022-01-16 00:00:00",Conventional,0.994320070,521046.70,159841.02,18993.28,25403.38,112054.46,,,,204754.57
Detroit,Weekly,"2022-01-09 00:00:00",Conventional,0.929786298,542589.59,214321.43,21037.20,28457.50,81241.21,,,,197532.25
Detroit,Weekly,"2022-01-03 00:00:00",Conventional,0.848969935,591436.41,163607.83,39157.76,90433.83,73060.52,,,,225176.47
"Grand Rapids",Weekly,"2022-01-23 00:00:00",Conventional,1.534456195,162407.52,24599.02,38832.22,54653.95,34545.77,,,,9776.56
"Grand Rapids",Weekly,"2022-01-16 00:00:00",Conventional,1.449276432,147358.07,24908.83,23597.18,29540.10,60199.78,,,,9112.18
"Grand Rapids",Weekly,"2022-01-09 00:00:00",Conventional,1.198590210,180172.71,63348.54,27481.59,30965.72,37384.20,,,,20992.66
"Grand Rapids",Weekly,"2022-01-03 00:00:00",Conventional,0.988966708,242702.00,25325.88,61585.32,95723.47,35595.41,,,,24471.92
Harrisburg/Scranton,Weekly,"2022-01-23 00:00:00",Conventional,1.307190252,351074.50,128093.72,83068.96,47.66,126636.96,,,,13227.19
Harrisburg/Scranton,Weekly,"2022-01-16 00:00:00",Conventional,1.288470418,351818.14,127446.07,77407.52,122.37,140018.96,,,,6823.21
Harrisburg/Scranton,Weekly,"2022-01-09 00:00:00",Conventional,1.124856736,394787.62,167123.60,92653.82,118.15,121624.26,,,,13267.79
Harrisburg/Scranton,Weekly,"2022-01-03 00:00:00",Conventional,1.105691778,364891.29,151256.89,90105.89,75.20,111354.84,,,,12098.47
Hartford/Springfield,Weekly,"2022-01-23 00:00:00",Conventional,1.553028196,332753.06,34871.44,206563.85,117.43,83314.65,,,,7885.70
Hartford/Springfield,Weekly,"2022-01-16 00:00:00",Conventional,1.489763954,368074.94,55316.38,215658.66,70.28,87303.64,,,,9725.98
Hartford/Springfield,Weekly,"2022-01-09 00:00:00",Conventional,1.555353778,340954.74,35844.15,218006.51,110.65,79508.52,,,,7484.93
Hartford/Springfield,Weekly,"2022-01-03 00:00:00",Conventional,1.308227213,380218.83,45514.86,266142.22,128.46,63864.42,,,,4568.87
Houston,Weekly,"2022-01-23 00:00:00",Conventional,1.055041112,952162.43,270071.25,202222.15,4270.32,192745.75,,,,282852.96
Houston,Weekly,"2022-01-16 00:00:00",Conventional,1.119275959,918499.49,305190.64,141110.68,5356.27,202483.72,,,,264358.18
Houston,Weekly,"2022-01-09 00:00:00",Conventional,1.015848483,954447.74,259934.25,245915.07,4461.60,184243.64,,,,259893.18
Houston,Weekly,"2022-01-03 00:00:00",Conventional,0.928214323,1014653.78,230107.46,264896.50,4667.78,262093.51,,,,252888.53
Indianapolis,Weekly,"2022-01-23 00:00:00",Conventional,1.028518990,272551.02,90716.41,24544.59,262.06,52621.67,,,,104406.29
Indianapolis,Weekly,"2022-01-16 00:00:00",Conventional,0.981025186,289801.52,92679.92,17529.34,249.85,58772.99,,,,120569.41
Indianapolis,Weekly,"2022-01-09 00:00:00",Conventional,0.942045388,269929.29,93684.12,18125.16,173.77,52067.93,,,,105878.31
Indianapolis,Weekly,"2022-01-03 00:00:00",Conventional,0.868814295,305561.67,93012.80,39010.75,398.65,47049.88,,,,126089.60
Jacksonville,Weekly,"2022-01-23 00:00:00",Conventional,1.389624415,184730.73,82905.73,5880.47,52.33,52152.35,,,,43739.84
Jacksonville,Weekly,"2022-01-16 00:00:00",Conventional,1.373449879,191134.05,99300.33,7137.39,110.20,51113.63,,,,33472.49
Jacksonville,Weekly,"2022-01-09 00:00:00",Conventional,1.344782703,189095.79,92838.85,7439.98,86.93,47035.76,,,,41694.27
Jacksonville,Weekly,"2022-01-03 00:00:00",Conventional,1.072209946,207389.87,101549.70,7934.53,66.69,45325.89,,,,52513.05
"Las Vegas",Weekly,"2022-01-23 00:00:00",Conventional,1.150880916,412854.00,67625.19,33497.30,408.78,119540.63,,,,191782.10
"Las Vegas",Weekly,"2022-01-16 00:00:00",Conventional,1.213707821,388456.87,71729.84,26161.00,118.60,126491.43,,,,163956.00
"Las Vegas",Weekly,"2022-01-09 00:00:00",Conventional,1.073453619,403424.86,65584.69,34759.26,110.30,117585.84,,,,185384.76
"Las Vegas",Weekly,"2022-01-03 00:00:00",Conventional,1.006810121,400538.32,49873.31,39621.38,136.34,105054.25,,,,205853.05
"Los Angeles",Weekly,"2022-01-23 00:00:00",Conventional,1.341762801,2985370.55,747168.78,48394.48,120157.65,734644.75,,,,1335004.89
"Los Angeles",Weekly,"2022-01-16 00:00:00",Conventional,1.309849172,3010531.84,876173.98,53907.40,99281.19,787741.15,,,,1193428.12
"Los Angeles",Weekly,"2022-01-09 00:00:00",Conventional,1.274812827,2919762.22,692951.50,48988.15,121089.11,789130.85,,,,1267602.60
"Los Angeles",Weekly,"2022-01-03 00:00:00",Conventional,1.088141668,3144413.32,727364.45,51374.52,138059.49,653262.95,,,,1574351.91
Louisville,Weekly,"2022-01-23 00:00:00",Conventional,1.052373942,131659.21,34206.04,8020.65,37.28,34383.22,,,,55012.01
Louisville,Weekly,"2022-01-16 00:00:00",Conventional,0.996362883,152068.26,39441.68,8088.31,65.17,36644.24,,,,67828.86
Louisville,Weekly,"2022-01-09 00:00:00",Conventional,0.959261486,141680.60,43325.67,8490.12,36.06,33498.58,,,,56330.18
Louisville,Weekly,"2022-01-03 00:00:00",Conventional,0.888112094,151116.03,39316.71,11563.42,74.61,30013.25,,,,70148.05
"Miami/Ft. Lauderdale",Weekly,"2022-01-23 00:00:00",Conventional,1.315354354,797906.54,388433.99,25259.84,175.50,221466.38,,,,162570.83
"Miami/Ft. Lauderdale",Weekly,"2022-01-16 00:00:00",Conventional,1.299253994,856360.23,417877.19,26109.81,194.89,224200.31,,,,187978.03
"Miami/Ft. Lauderdale",Weekly,"2022-01-09 00:00:00",Conventional,1.282728891,835488.22,429280.15,28383.49,165.14,215348.63,,,,162310.80
"Miami/Ft. Lauderdale",Weekly,"2022-01-03 00:00:00",Conventional,1.104941392,870479.78,472660.02,30186.47,180.09,210801.10,,,,156652.00
Nashville,Weekly,"2022-01-23 00:00:00",Conventional,1.215863862,259411.85,94695.31,8367.78,20.35,78434.36,,,,77894.04
Nashville,Weekly,"2022-01-16 00:00:00",Conventional,1.178935132,339662.30,109463.96,13357.73,62.48,101911.45,,,,114866.68
Nashville,Weekly,"2022-01-09 00:00:00",Conventional,1.121477342,300772.96,108173.11,12425.92,54.14,81562.80,,,,98556.99
Nashville,Weekly,"2022-01-03 00:00:00",Conventional,0.989684943,306302.75,114838.61,9627.56,106.60,80585.71,,,,101144.26
"Northern New England",Weekly,"2022-01-23 00:00:00",Conventional,1.189532476,513115.27,160631.53,197917.81,43.21,100998.02,,,,53524.71
"Northern New England",Weekly,"2022-01-16 00:00:00",Conventional,1.191520176,537420.90,164759.63,192718.83,7.56,99825.50,,,,80109.39
"Northern New England",Weekly,"2022-01-09 00:00:00",Conventional,1.286336156,477727.78,152072.66,185087.01,19.19,92114.14,,,,48434.78
"Northern New England",Weekly,"2022-01-03 00:00:00",Conventional,1.052108751,599149.77,224753.86,255004.48,17.70,70021.80,,,,49351.94
"New Orleans/Mobile",Weekly,"2022-01-23 00:00:00",Conventional,1.038514990,319937.95,124732.00,16990.60,79.01,132696.86,,,,45439.49
"New Orleans/Mobile",Weekly,"2022-01-16 00:00:00",Conventional,1.020543668,309737.75,125347.74,17863.71,93.43,120447.66,,,,45985.22
"New Orleans/Mobile",Weekly,"2022-01-09 00:00:00",Conventional,1.001115534,304059.87,110585.51,17908.25,64.03,126939.78,,,,48562.31
"New Orleans/Mobile",Weekly,"2022-01-03 00:00:00",Conventional,0.898846741,295635.76,103783.64,15256.24,64.16,133343.94,,,,43187.77
"New York",Weekly,"2022-01-23 00:00:00",Conventional,1.518256792,1757913.40,392021.25,629892.99,305.44,647515.84,,,,88177.89
"New York",Weekly,"2022-01-16 00:00:00",Conventional,1.406058240,2133071.18,719441.27,662738.59,406.09,660847.84,,,,89637.39
"New York",Weekly,"2022-01-09 00:00:00",Conventional,1.456478984,1772686.38,412167.89,644816.30,358.40,624854.40,,,,90489.39
"New York",Weekly,"2022-01-03 00:00:00",Conventional,1.376763968,1834844.12,615553.36,632016.10,338.61,503939.73,,,,82996.31
Orlando,Weekly,"2022-01-23 00:00:00",Conventional,1.313345009,447749.61,206935.71,9219.15,72.00,150351.79,,,,81170.97
Orlando,Weekly,"2022-01-16 00:00:00",Conventional,1.344797005,461059.42,210144.02,10243.24,65.91,149716.72,,,,90889.54
Orlando,Weekly,"2022-01-09 00:00:00",Conventional,1.264178863,460652.06,205727.85,9931.00,46.30,135063.33,,,,109883.58
Orlando,Weekly,"2022-01-03 00:00:00",Conventional,1.095002092,487837.13,230760.57,11072.93,31.61,131643.45,,,,114328.57
Peoria/Springfield,Weekly,"2022-01-23 00:00:00",Conventional,1.076228079,125350.33,38712.21,15515.19,113.67,33863.73,,,,37145.52
Peoria/Springfield,Weekly,"2022-01-16 00:00:00",Conventional,1.032951906,134922.48,41059.17,12887.88,47.96,39785.19,,,,41142.29
Peoria/Springfield,Weekly,"2022-01-09 00:00:00",Conventional,0.974865618,126067.45,43118.91,13160.21,89.08,31995.45,,,,37703.79
Peoria/Springfield,Weekly,"2022-01-03 00:00:00",Conventional,0.868530172,143772.29,44073.19,23156.87,137.44,32119.03,,,,44285.77
Philadelphia,Weekly,"2022-01-23 00:00:00",Conventional,1.386651298,572564.47,163322.73,113043.01,313.31,237177.19,,,,58708.22
Philadelphia,Weekly,"2022-01-16 00:00:00",Conventional,1.326232977,616433.24,198649.11,118873.54,373.86,245910.89,,,,52625.84
Philadelphia,Weekly,"2022-01-09 00:00:00",Conventional,1.144158573,660799.96,196897.87,132930.57,462.83,266141.33,,,,64367.36
Philadelphia,Weekly,"2022-01-03 00:00:00",Conventional,1.194734027,545855.96,192554.32,123881.58,342.84,183301.52,,,,45775.69
Phoenix/Tucson,Weekly,"2022-01-23 00:00:00",Conventional,1.080984418,1232688.24,410389.02,156541.72,10350.51,192279.17,,,,463127.83
Phoenix/Tucson,Weekly,"2022-01-16 00:00:00",Conventional,1.119328047,1171787.01,330448.53,150794.84,7392.62,201482.91,,,,481668.11
Phoenix/Tucson,Weekly,"2022-01-09 00:00:00",Conventional,0.878384390,1309556.01,405720.01,132324.56,10999.64,190425.05,,,,570086.76
Phoenix/Tucson,Weekly,"2022-01-03 00:00:00",Conventional,0.802877211,1338046.04,437754.27,134646.25,12134.27,167114.08,,,,586397.17
Pittsburgh,Weekly,"2022-01-23 00:00:00",Conventional,1.347301247,116781.48,39394.77,4596.99,5.47,38232.61,,,,34551.64
Pittsburgh,Weekly,"2022-01-16 00:00:00",Conventional,1.083274932,178839.62,72550.44,6326.45,47.04,39831.28,,,,60084.41
Pittsburgh,Weekly,"2022-01-09 00:00:00",Conventional,1.315133296,123945.93,40344.86,4514.81,0.00,40316.52,,,,38769.73
Pittsburgh,Weekly,"2022-01-03 00:00:00",Conventional,1.047244016,150324.02,61840.06,3914.48,0.00,35821.70,,,,48747.78
Portland,Weekly,"2022-01-23 00:00:00",Conventional,1.372500137,667739.89,133749.88,37416.64,5086.76,108909.35,,,,382577.26
Portland,Weekly,"2022-01-16 00:00:00",Conventional,1.422081130,690743.30,115333.63,50420.45,5031.14,113825.77,,,,406132.32
Portland,Weekly,"2022-01-09 00:00:00",Conventional,1.313207208,641954.12,93078.81,84083.27,6944.67,115466.31,,,,342381.05
Portland,Weekly,"2022-01-03 00:00:00",Conventional,0.956078832,777367.60,119221.17,90938.04,6238.33,125448.22,,,,435521.84
Providence,Weekly,"2022-01-23 00:00:00",Conventional,1.649750872,84389.07,6551.78,47261.51,26.46,17671.77,,,,12877.57
Providence,Weekly,"2022-01-16 00:00:00",Conventional,1.397003649,97310.99,8018.14,50856.94,47.83,16280.22,,,,22107.87
Providence,Weekly,"2022-01-09 00:00:00",Conventional,1.571374758,91797.23,6575.50,57451.11,48.60,16873.95,,,,10848.06
Providence,Weekly,"2022-01-03 00:00:00",Conventional,1.412122437,73520.42,5909.39,45565.83,20.27,11466.56,,,,10558.37
Raleigh/Greensboro,Weekly,"2022-01-23 00:00:00",Conventional,1.373021619,384853.56,149773.50,68956.56,2365.93,144855.13,,,,18902.44
Raleigh/Greensboro,Weekly,"2022-01-16 00:00:00",Conventional,1.255091867,444167.10,164347.71,69608.33,2958.51,180228.40,,,,27024.15
Raleigh/Greensboro,Weekly,"2022-01-09 00:00:00",Conventional,1.114061895,449207.16,184728.79,74548.91,3342.42,150126.69,,,,36460.35
Raleigh/Greensboro,Weekly,"2022-01-03 00:00:00",Conventional,1.109004824,462737.65,156455.31,66861.35,3292.60,204500.03,,,,31628.37
Richmond/Norfolk,Weekly,"2022-01-23 00:00:00",Conventional,1.212772132,313465.95,107789.95,36465.49,676.55,91712.49,,,,76821.48
Richmond/Norfolk,Weekly,"2022-01-16 00:00:00",Conventional,1.129739545,362580.56,123513.07,40829.48,803.13,94264.60,,,,103170.28
Richmond/Norfolk,Weekly,"2022-01-09 00:00:00",Conventional,1.014208393,364831.73,148355.68,44760.75,826.33,86088.30,,,,84800.67
Richmond/Norfolk,Weekly,"2022-01-03 00:00:00",Conventional,1.002756266,346951.56,127229.78,38251.98,1004.25,91287.66,,,,89177.89
Roanoke,Weekly,"2022-01-23 00:00:00",Conventional,1.122726021,163635.40,58869.55,11402.38,28.78,42775.78,,,,50558.92
Roanoke,Weekly,"2022-01-16 00:00:00",Conventional,1.040864690,240312.31,80983.97,15833.28,18.43,52570.82,,,,90905.80
Roanoke,Weekly,"2022-01-09 00:00:00",Conventional,0.961949164,214695.64,83410.38,16611.47,34.26,46570.40,,,,68069.14
Roanoke,Weekly,"2022-01-03 00:00:00",Conventional,0.968524022,197996.68,70674.97,13407.71,71.09,43620.34,,,,70222.57
Sacramento,Weekly,"2022-01-23 00:00:00",Conventional,1.604913379,433114.24,103854.85,144449.47,1978.57,93518.14,,,,89313.20
Sacramento,Weekly,"2022-01-16 00:00:00",Conventional,1.662161639,429519.08,102379.07,133022.56,1968.93,109583.45,,,,82565.07
Sacramento,Weekly,"2022-01-09 00:00:00",Conventional,1.339421241,466374.13,92558.25,148493.20,2130.65,106980.19,,,,116211.85
Sacramento,Weekly,"2022-01-03 00:00:00",Conventional,1.434937950,466759.50,80768.10,169666.65,1765.20,117157.56,,,,97401.99
"San Diego",Weekly,"2022-01-23 00:00:00",Conventional,1.303838260,569927.50,126494.43,24521.11,17781.33,140768.56,,,,260362.07
"San Diego",Weekly,"2022-01-16 00:00:00",Conventional,1.344136617,548383.46,143851.16,22816.58,13668.32,153529.28,,,,214518.11
"San Diego",Weekly,"2022-01-09 00:00:00",Conventional,1.289827477,555544.15,105996.43,21434.36,17538.23,146758.79,,,,263816.34
"San Diego",Weekly,"2022-01-03 00:00:00",Conventional,1.062662456,591354.20,108060.79,21698.54,18435.98,129031.34,,,,314127.54
"San Francisco",Weekly,"2022-01-23 00:00:00",Conventional,1.691315913,722953.56,174333.38,144232.15,3479.38,118371.66,,,,282536.98
"San Francisco",Weekly,"2022-01-16 00:00:00",Conventional,1.650785203,698233.15,188648.54,139086.02,3382.71,123249.00,,,,243866.88
"San Francisco",Weekly,"2022-01-09 00:00:00",Conventional,1.238332454,899723.14,150508.24,217848.77,3956.57,129796.30,,,,397613.27
"San Francisco",Weekly,"2022-01-03 00:00:00",Conventional,1.500227421,811334.79,116532.81,262536.25,3199.25,142567.15,,,,286499.34
Seattle,Weekly,"2022-01-23 00:00:00",Conventional,1.385705113,638525.06,124001.97,41829.52,421.01,93035.92,,,,379236.65
Seattle,Weekly,"2022-01-16 00:00:00",Conventional,1.627810131,532819.06,89729.43,55304.06,373.65,96395.56,,,,291016.36
Seattle,Weekly,"2022-01-09 00:00:00",Conventional,1.431289700,628269.54,82570.95,81016.73,473.76,100642.11,,,,363565.99
Seattle,Weekly,"2022-01-03 00:00:00",Conventional,1.399775104,583689.42,75036.19,85622.71,369.62,83658.27,,,,339002.62
"South Carolina",Weekly,"2022-01-23 00:00:00",Conventional,1.339127471,479890.40,191091.85,47543.17,1643.91,139199.66,,,,100411.81
"South Carolina",Weekly,"2022-01-16 00:00:00",Conventional,1.301822648,493089.03,177534.32,48819.71,1730.89,164752.65,,,,100251.46
"South Carolina",Weekly,"2022-01-09 00:00:00",Conventional,1.178574468,520062.05,211980.58,55414.03,1760.44,149378.63,,,,101528.36
"South Carolina",Weekly,"2022-01-03 00:00:00",Conventional,1.112267632,526221.89,207706.98,48224.64,1775.35,157859.36,,,,110655.56
Spokane,Weekly,"2022-01-23 00:00:00",Conventional,1.227998423,90162.42,23099.54,6038.57,3.45,15155.65,,,,45865.21
Spokane,Weekly,"2022-01-16 00:00:00",Conventional,1.439749471,75544.79,16008.23,7527.68,29.69,17050.72,,,,34928.46
Spokane,Weekly,"2022-01-09 00:00:00",Conventional,1.256453829,87547.83,15984.10,10954.98,21.00,16933.86,,,,43653.89
Spokane,Weekly,"2022-01-03 00:00:00",Conventional,1.238128461,82677.16,15530.85,12358.35,20.83,13610.72,,,,41156.41
"St. Louis",Weekly,"2022-01-23 00:00:00",Conventional,1.213681484,184052.26,76999.14,6148.02,63.95,46532.00,,,,54309.16
"St. Louis",Weekly,"2022-01-16 00:00:00",Conventional,1.181132263,200581.43,78292.66,5183.95,102.55,57583.35,,,,59418.92
"St. Louis",Weekly,"2022-01-09 00:00:00",Conventional,1.090940981,197327.20,79024.13,5812.07,55.04,49203.88,,,,63232.09
"St. Louis",Weekly,"2022-01-03 00:00:00",Conventional,0.920468333,231544.73,106367.01,6079.22,30.40,50013.44,,,,69054.66
Syracuse,Weekly,"2022-01-23 00:00:00",Conventional,1.264228999,92774.51,20630.05,30713.39,30.83,36837.20,,,,4563.04
Syracuse,Weekly,"2022-01-16 00:00:00",Conventional,1.338312684,85000.24,16175.65,27426.85,35.56,37413.38,,,,3948.79
Syracuse,Weekly,"2022-01-09 00:00:00",Conventional,1.317840690,85636.44,15803.89,29499.93,57.07,35420.22,,,,4855.33
Syracuse,Weekly,"2022-01-03 00:00:00",Conventional,1.186433009,86110.74,22494.06,27604.91,44.64,34628.91,,,,1338.23
Tampa,Weekly,"2022-01-23 00:00:00",Conventional,1.216690007,515298.53,227973.52,14013.11,30.24,131355.55,,,,141926.11
Tampa,Weekly,"2022-01-16 00:00:00",Conventional,1.250774789,507980.01,224687.68,16093.86,49.88,129032.67,,,,138115.91
Tampa,Weekly,"2022-01-09 00:00:00",Conventional,1.193863666,515393.92,238335.36,15827.18,19.84,115990.41,,,,145221.12
Tampa,Weekly,"2022-01-03 00:00:00",Conventional,1.093909541,555578.44,279548.62,17768.06,35.91,120206.18,,,,138019.67
Toledo,Weekly,"2022-01-23 00:00:00",Conventional,1.050104396,141250.35,47308.10,8688.81,8997.38,24314.64,,,,51941.42
Toledo,Weekly,"2022-01-16 00:00:00",Conventional,0.953861083,152302.89,49810.84,6214.85,4992.69,29185.81,,,,62098.71
Toledo,Weekly,"2022-01-09 00:00:00",Conventional,0.876108618,157567.74,63637.17,6180.06,4987.95,24330.76,,,,58431.81
Toledo,Weekly,"2022-01-03 00:00:00",Conventional,0.834088570,171814.43,50489.40,11947.23,17192.07,22884.99,,,,69300.74
"West Tex/New Mexico",Weekly,"2022-01-23 00:00:00",Conventional,1.090355504,896546.53,276490.05,106867.91,7604.79,335562.09,,,,170021.68
"West Tex/New Mexico",Weekly,"2022-01-16 00:00:00",Conventional,1.099817422,898519.62,321682.68,95576.47,7392.42,308230.23,,,,165637.82
"West Tex/New Mexico",Weekly,"2022-01-09 00:00:00",Conventional,1.017704292,815673.47,236987.37,92538.90,6802.31,343512.33,,,,135832.56
"West Tex/New Mexico",Weekly,"2022-01-03 00:00:00",Conventional,0.912305922,884339.90,238818.56,98125.26,8558.53,375383.56,,,,163453.99
Wichita,Weekly,"2022-01-23 00:00:00",Conventional,1.040218570,104117.09,24364.33,2651.20,15.56,26830.22,,,,50255.78
